Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4	Full_CD4_control_1	Full_CD4_control_2	Full_CD4_control_3	Full_CD4_control_4	Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD4_V7_1	Full_CD4_V7_2	Full_CD4_V7_3	Full_CD4_V7_4
CCNL2	140.561633491444	409.940392607404	787.701169615943	654.463160505489	163.616124870853	734.33538175041	157.6111825492	160.707404266114	89.5715818399037	169.984139732952	792.912693902626	730.234500091435	527.5211186797	1138.58162229887	695.080249733044	780.478104825476
MRPL20	1487.04514328189	1423.12640360456	1853.03471868668	1722.70995997272	1480.41128368723	2342.44837557128	1408.19925846246	435.200342939623	432.462793570785	405.047921535091	2205.12647879456	2172.93623749836	2421.42355877319	2629.97694901826	2344.849035244	2310.11077849681
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67489216803143	0
ATAD3C	0	6.66569744077079	0	0	0	4.52734514026147	0	14.0765609576159	1.3995559662485	0	1.72747863595343	3.55345255518946	11.0862581859131	17.5918190569783	2.51233825204715	13.9215715464968
ATAD3B	1.93878115160612	3.3328487203854	22.1368010196518	24.9936426218504	0	138.536761292001	5.15069224016994	0	1.3995559662485	1.94267588266231	13.8198290876275	156.351912428336	101.62403337087	53.7527804518782	113.892667426137	194.031903429299
ATAD3A	4.8469528790153	4.44379829384719	43.3512353301514	25.9193330893263	3.14646393982409	170.228177273831	1.03013844803399	3.51914023940396	1.3995559662485	5.82802764798693	32.8220940831152	85.2828613245471	120.101130347392	93.823034970551	133.991373442514	145.30640301656
TMEM240	0	0	0	0	3.14646393982409	0	0	0	0	0	0	2.6650894163921	0	0	0	0
SSU72	425.562462777543	855.431171565585	758.185434923074	621.138303676356	582.095828867456	1220.57224981449	618.083068820392	452.796044136643	335.893431899639	520.637136553499	811.051219580137	1233.93639978954	1709.13147032828	1426.89199017713	1414.44643590254	1553.9954238777
FNDC10	0	0	0	0	0	8.14922125247064	0	0	0	0	1.72747863595343	0	0.923854848826095	19.5464656188648	0	16.5318662114649
MIB2	0	4.44379829384719	14.7578673464345	3.70276186990376	0	4.52734514026147	0	0	2.79911193249699	0	0	11.5487208043658	11.0862581859131	1.95464656188648	1.67489216803143	11.3112768815286
MMP23B	0	0	0	0	0	1.81093805610459	0	0	0	0	0	0	0	0	0	0
CDK11B	29.0817172740918	44.437982938472	144.811573336889	91.643356280118	58.2095828867456	375.769646641702	41.2055379213595	43.4027296193156	118.962257131122	56.3376005972069	95.0113249774388	604.086934382209	421.277811064699	339.131178487304	377.688183891087	334.987815337579
SLC35E2B	226.837394737916	134.424898388878	213.066709814148	298.998020994729	223.39893972751	349.511044828185	289.46890389755	321.414808532229	116.163145198625	30.1114761812658	95.0113249774388	160.793728122323	158.903033998088	195.464656188648	242.859364364557	162.708367449681
CDK11A	15.510249212849	5.55474786730899	10.1460338006737	31.473475894182	28.3181754584168	13.5820354207844	18.5424920646118	16.4226544505518	9.79689176373947	12.627393237305	25.0484402213248	11.5487208043658	14.7816775812175	7.81858624754592	15.0740295122829	37.4142235312101
NADK	33.9286701531071	13.3313948815416	112.528738516563	66.6497136582677	35.397719323021	184.715681722668	14.4219382724758	1.17304674646799	6.99777983124248	26.2261244159412	94.1475856594621	151.91009673435	115.481856103262	63.5260132613106	129.804143022436	154.877483454777
GNB1	2583.42588451515	2562.96066597637	2559.56761789724	2713.19876017198	2936.43747184083	1934.98731294775	3262.44846492364	2011.7751701926	3260.96540135899	2277.78747242156	2444.38226987411	2068.99775025907	2156.27721716011	2520.51674155262	2672.29045409415	2617.2554507414
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	3.45495727190687	0	0	0	4.18723042007858	0
CFAP74	0	0	2.76710012745647	0	0	0	1.03013844803399	5.86523373233994	0	0	0	0	0	0	1.67489216803143	1.7401964433121
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	0	0	0	0	0	11.7710973646798	0	0	0	0	0	1.77672627759473	1.84770969765219	0	0	0.870098221656049
FAAP20	31.989889001501	4.44379829384719	6.4565669640651	13.8853570121391	26.7449434885047	19.9203186171505	53.5671992977673	4.69218698587195	23.7924514262244	24.2834485332789	34.5495727190687	93.2781295737234	117.329565800914	30.2970217092404	65.3207945532258	89.6201168305731
SKI	120.204431399579	69.9898231280933	101.460338006737	86.0892134752624	85.7411423602064	106.845345310171	103.013844803399	90.3245994780351	78.3751341099157	87.4204147198039	78.6002779358812	118.15229746005	108.091017312653	74.2765693516862	58.6212258811001	78.3088399490444
MORN1	1.93878115160612	9.99854616115619	0	2.77707140242782	51.9166550070975	44.3679823745624	1.03013844803399	7.03828047880793	0	4.85668970665577	11.2286111336973	7.99526824917629	7.39083879060876	28.342375147354	0.837446084015715	3.4803928866242
RER1	192.908724584809	293.290687393915	252.728478307691	163.847212743241	119.565629713315	115.900035590694	342.005964747284	195.898806660154	607.407289351847	237.006457684802	245.301966305387	1183.29970087809	546.922070505048	140.734552455827	376.850737807072	357.610369100636
PEX10	0	0	2.76710012745647	0	0	7.24375222441835	0	0	0	2.91401382399346	0	17.7672627759473	9.23854848826095	8.79590952848916	10.8867990922043	3.4803928866242
PLCH2	0	1.1109495734618	0	10.1825951422353	0.786615984956022	0.905469028052294	1.03013844803399	1.17304674646799	0	2.91401382399346	1.72747863595343	2.6650894163921	14.7816775812175	0	0	0
PANK4	7.75512460642448	32.2175376303922	27.6710012745647	26.8450235568023	35.397719323021	272.54617744374	12.3616613764078	29.3261686616997	16.7946715949819	41.7675314772396	11.2286111336973	214.983879588963	187.542534311697	132.915966208281	412.860919419748	200.122590980891
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7401964433121
TNFRSF14	20.3572020918643	21.1080418957742	125.441872444693	90.7176658126421	61.3560468265697	996.921399885575	87.5617680828889	48.0949166051875	22.3928954599759	30.1114761812658	53.5518377145564	405.093591291599	461.003569564221	814.110293025719	925.377922837365	1070.22081263694
PRXL2B	30.0511078498949	4.44379829384719	33.2052015294777	10.1825951422353	60.5694308416137	72.4375222441835	83.441214290753	82.1132722527591	41.9866789874549	35.9395038292527	31.9583547651385	2.6650894163921	16.6293872788697	10.7505560903756	21.7735981844086	73.9583488407642
MMEL1	0	0	0	0	0.786615984956022	0	0	0	0	0	0	1.77672627759473	0	0	2.51233825204715	0
TTC34	5.81634345481836	0	0	0	3.93307992478011	0.905469028052294	0	0	4.19866789874549	0	0	0	0	0	16.7489216803143	6.96078577324839
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	1.84770969765219	0	0	0
PRDM16	0	0	0	0	0	0	0	0	1.3995559662485	0	0	0	9.23854848826095	0.97732328094324	0	1.7401964433121
ARHGEF16	0	0	0	0	0	1.81093805610459	0	0	0	0	0	0	0	0	0	0
MEGF6	0	0	0	0	7.86615984956022	0.905469028052294	2.06027689606797	0	0	1.94267588266231	0	5.3301788327842	1.84770969765219	0	0	0.870098221656049
TPRG1L	203.572020918643	253.29650274929	99.615604588433	240.679521543744	175.415364645193	256.247734938799	287.408627001482	410.566361263796	8.39733579749097	133.073297962368	169.292906323436	116.375571182455	102.547888219697	52.7754571709349	95.4688535777915	80.0490363923565
WRAP73	6.78573403062142	12.2204453080798	69.1775031864118	72.2038564631233	21.2386315938126	162.984425049413	48.4165070575974	28.1531219152317	34.9888991562124	52.4522488318823	41.4594872628824	216.760605866557	179.227840672262	86.0044487230051	141.528388198656	155.747581676433
TP73	1.93878115160612	0	0	5.55414280485564	0	17.2039115329936	1.03013844803399	0	0	1.94267588266231	2.59121795393015	30.2043467191104	1.84770969765219	5.86393968565944	0.837446084015715	8.70098221656049
CCDC27	0	3.3328487203854	0	4.6284523373797	0	4.52734514026147	0	0	0	0	0	0	0	0	0	1.7401964433121
SMIM1	0	0	0	0	0	0	0	0	0	0	0	7.10690511037893	0	0	0	2.61029466496815
LRRC47	248.163987405583	289.957838673529	248.11664476193	179.583950690332	295.767610343464	423.759505128473	161.731736341336	217.013648096578	327.496096102148	211.751671210192	296.262586066014	230.086052948518	309.491374356742	342.063148330134	353.402247454632	393.284396188534
CEP104	99.8472293077152	191.083326635429	167.870741065693	148.11047479615	144.737341231908	273.451646471793	582.028223139203	340.183556475716	246.321850059735	140.844001493017	228.89091926383	136.807923374794	192.161808555828	89.9137418467781	170.839001139206	223.615242965605
DFFB	168.673960189732	128.870150521569	39.6617684935428	87.0149039427383	236.771411471763	227.272726041126	54.5973377458013	164.226544505518	194.538279308541	135.987311786362	36.2770513550221	154.575186150742	169.989292184001	125.097379960735	100.493530081886	46.9853039694267
C1orf174	347.041826137495	445.490778958181	263.796878817517	296.220949592301	391.734760508099	536.037664606958	484.165070575974	443.411670164899	239.324070228493	295.286734164671	382.636517863685	420.195764651154	612.515764771701	426.112950491253	531.778263349979	454.191271704458
AJAP1	0	0	0	0	0	0	0	1.17304674646799	0	0	0	1.77672627759473	0	0	0	2.61029466496815
NPHP4	41.6837947595316	102.207360758485	93.1590376243679	18.5138093495188	81.0214464504703	88.7359647491248	4.12055379213595	7.03828047880793	12.5960036962365	33.0254900052592	76.0090599819511	81.7294087693577	140.425937021566	32.2516682711269	93.7939614097601	71.348054175796
KCNAB2	425.562462777543	603.245618389757	536.817424726556	477.656281217585	421.626167936428	904.563559024241	443.989671102649	434.027296193155	284.109861148445	241.863147391457	372.271646047965	589.873124161451	697.510410863702	630.37351620839	729.415539177688	911.86293629554
CHD5	0	0	0	0	0	0	2.06027689606797	0	0	0	0	0	10.162403337087	0	0	0
RPL22	1919.39334009006	2090.80709725511	1355.87906245367	1888.40855365092	1994.07152186352	1549.25750699747	2361.0773228939	2096.23453593829	3936.95093305702	2523.53597157834	1621.2386998423	1511.99406223312	1889.28316584936	1474.78083094335	1545.08802500899	1736.71605042547
RNF207	54.2858722449714	98.8745120381001	1.84473341830432	150.887546198578	352.403961260298	142.15863740421	135.978275140486	192.37966642075	152.551600321086	33.0254900052592	114.877329290903	31.9810729967052	173.684711579306	128.029349803564	86.2569466536186	204.473082089172
ICMT	341.225482682677	535.477694408587	570.022626256034	518.386661786526	592.321836671885	412.893876791846	366.729287500099	360.125351165672	93.7702497386492	162.213436202303	344.63198787271	263.843852222818	171.837001881654	215.011121807513	201.824506247787	307.144672244585
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	1.93878115160612	11.109495734618	15.6802340555867	0	6.29292787964818	46.178920430667	0	0	5.59822386499398	3.88535176532462	5.1824359078603	0	38.801903650696	38.1156079567863	1.67489216803143	18.272062654777
ACOT7	239.439472223356	373.279056683164	480.553055468274	635.023660688495	248.570651246103	773.270549956659	124.646752212112	91.497646224503	183.341831578553	68.964993834512	345.495727190687	1995.26360973888	996.839381883356	346.94976473485	798.923564150992	596.88738005605
HES2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPN	0.96939057580306	0	0	0	0	0	0	1.17304674646799	0	0.971337941331154	0	0	1.84770969765219	0	0	0
TNFRSF25	13.5714680612428	0	4.61183354576079	8.33121420728346	33.0378713681529	5.43281416831376	18.5424920646118	9.3843739717439	0	1.94267588266231	15.5473077235809	15.1021733595552	25.8679357671307	2.93196984282972	20.0987060163772	40.0245181961783
PLEKHG5	0	5.55474786730899	0.922366709152158	0	5.50631189469215	0	0	0	0	0.971337941331154	12.092350451674	0	0	9.7732328094324	0	6.09068755159234
NOL9	767.757336036024	578.804727773597	749.884134540704	624.841065546259	986.416445134852	707.171310908841	831.321727563428	1268.06353293189	780.95222916666	1493.91775376732	891.378976151971	819.959177109969	649.469958724745	734.947107269316	930.402599341459	874.448712764329
TAS1R1	0	0	0	0	0	0	0	0	0	0	0	0	13.8578227323914	0	0	0.870098221656049
ZBTB48	24.2347643950765	4.44379829384719	147.578673464345	105.528713292257	0.786615984956022	81.4922125247064	0	15.2496077040838	2.79911193249699	4.85668970665577	38.8682693089522	185.667896008649	148.740630661001	174.94086728884	154.927525542907	144.436304794904
KLHL21	251.072159132993	344.394367773158	510.068790161143	442.480043453499	265.876202915135	624.773629356083	433.688286622309	417.604641742604	166.547159983571	200.095615914218	469.874188979334	355.345255518946	136.730517626262	280.49178163071	278.869545977233	357.610369100636
PHF13	44.5919664869408	14.4423444550034	149.42340688265	140.704951056343	103.833310014195	15.392973476889	160.701597893302	34.0183556475716	58.7813505824368	212.723009151523	47.5056624887194	215.87224272776	70.2129685107832	171.031574165067	52.75910329299	108.762277707006
THAP3	29.0817172740918	48.8817812323191	270.253445781582	204.577593312183	7.86615984956022	396.595434286905	13.3917998244418	9.3843739717439	1.3995559662485	9.71337941331154	142.516987466158	395.321596764828	171.837001881654	227.716324459775	288.918898985422	355.000074435668
DNAJC11	159.949445007505	225.522763412745	306.225747438516	314.73475894182	224.185555712466	566.823611560736	13.3917998244418	76.2480385204192	166.547159983571	244.777161215451	388.682693089522	613.85892890898	564.475312632744	755.470896169124	734.440215681782	739.583488407642
CAMTA1	766.78794546022	842.099776684043	629.054095641772	639.652113025874	588.388756747104	625.679098384135	680.921514150466	617.022588642162	918.108713859013	966.481251624498	755.771903229627	792.41991980725	1127.10291556784	848.316607858732	879.318388216501	754.375158175795
VAMP3	898.625063769437	684.344937252468	1129.89921871139	827.56727792349	761.444273437429	866.533859846045	746.850374824641	947.821771146134	878.921146804055	706.162683347749	919.882373645203	1210.83895818081	991.2962527904	1686.85998290803	1175.77430195806	871.838418099361
PER3	499.236146538576	426.604636209331	537.739791435708	529.494947396238	219.46585980273	205.541469367871	208.087966502865	198.24490015309	270.11430148596	138.901325610355	400.775043541196	481.492821228172	80.3753718478703	220.875061493172	277.194653809202	112.24267059363
UTS2	15.510249212849	62.2131761138607	81.1682704053899	0	0	0	0	11.7304674646799	0	68.964993834512	41.4594872628824	7.99526824917629	4.61927424413047	0	0	0
TNFRSF9	2577.60954106034	2171.90641611782	2230.28270272992	2399.38969169764	1887.87836389445	1099.23940005548	1061.04260147501	1425.25179695861	6820.03622352892	18302.9208285029	13577.982078594	9183.89812888717	5043.32361974165	3257.41849538382	4690.53551657202	4519.29016328152
PARK7	14911.1658370027	13985.7441803106	12013.8263867069	11925.6702924925	13094.0096855779	9875.04521993831	14127.3186763381	13136.950513695	12815.7339829375	10338.9210475288	13659.1735744838	12302.0527460659	12036.9048253552	12803.9123036374	11842.3250740662	11422.6494539006
ERRFI1	7.75512460642448	43.3270333650102	7.37893367321726	0	0.786615984956022	4.52734514026147	51.5069224016994	110.266394167991	156.750268219831	63.136966186525	7.77365386179045	34.6461624130973	7.39083879060876	8.79590952848916	9.21190692417287	6.09068755159234
SLC45A1	0	0	0	0	0	3.62187611220917	0	0	0	0	0	7.99526824917629	0	0	13.3991373442514	6.09068755159234
RERE	110.510525641549	89.9869154504057	206.610142850083	34.2505472966098	487.701910672734	201.919593255661	602.630992099883	319.068715039293	138.556040658601	95.1911182504531	140.789508830205	170.565722649094	185.694824614045	129.983996365451	235.322349608416	400.245181961783
ENO1	60952.371234769	57824.9252986866	53860.6816142311	49938.2236489245	56139.9962303263	40557.7687045183	29256.9620626133	41430.8380385029	1004.88118376642	2084.49122209666	54274.7875237029	47406.6105387826	33114.6532013225	50495.3619564944	44511.9342576033	44666.4922087133
CA6	11.6326869096367	22.218991469236	115.29583864402	119.414070304396	16.5189356840765	68.8156461319743	65.9288606741752	129.035142111479	67.1786863799278	38.8535176532462	37.1407906729988	28.4276204415157	43.4211778948265	305.902186935234	81.2322701495244	53.075991521019
SLC2A7	0	0	0	0	0	0	0	0	0	21.3694347092854	0	0	0.923854848826095	0	0	10.4411786598726
SLC2A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97732328094324	0	1.7401964433121
GPR157	0	32.2175376303922	0	0	4.71969590973613	54.3281416831376	71.0795529143451	58.6523373233994	8.39733579749097	0	4.31869658988358	0	2.77156454647828	6.84126296660268	1.67489216803143	6.96078577324839
H6PD	206.480192646052	224.411813839283	177.094408157214	192.543617234995	521.526398025843	268.018832303479	251.353781320293	174.78396522373	134.357372759856	63.136966186525	165.83794905153	147.468281040363	343.674003763307	98.7096513752672	147.390510786766	217.524555414012
SPSB1	105.663572762534	139.979646256187	102.38270471589	37.0276186990376	58.9961988717017	65.1937700197651	25.7534612008497	85.6324124921631	34.9888991562124	13.5987311786362	104.512457475183	48.8599726338551	100.700178522044	75.2538926326295	67.8331328052729	40.0245181961783
SLC25A33	108.571744489943	91.0978650238675	28.5933679837169	56.4671185160323	9.43939181947226	35.3132920940395	121.556336868011	105.574207182119	324.696984169651	137.929987669024	108.831154065066	87.9479507409392	83.1469363943485	119.233440275075	72.0203632253515	130.514733248407
TMEM201	9.6939057580306	101.096411185024	47.04070216676	93.4947372150699	9.43939181947226	94.1687789174385	2.06027689606797	1.17304674646799	22.3928954599759	24.2834485332789	88.9651497516018	142.138102207579	131.187388533305	75.2538926326295	32.6603972766129	65.2573666242037
PIK3CD	1099.28891296067	1297.58910180338	1267.33185837506	1102.49734676384	1120.14116257738	2148.67800356809	1766.68743837829	1113.22136239812	174.944495781062	215.637022975516	1293.88149832912	1633.69981224836	1698.04521214236	1945.85065235799	1627.99518732655	1929.00775741146
CLSTN1	126.020774854398	157.754839431575	322.828348203255	140.704951056343	118.779013728359	349.511044828185	89.6220449789569	145.45779656203	67.1786863799278	69.9363317758431	179.657778139157	226.532600393328	127.491969138001	218.920414931286	262.958070380935	203.602983867516
CTNNBIP1	16.479639788652	16.664243601927	45.1959687484557	52.7643566461286	0	27.1640708415688	2.06027689606797	3.51914023940396	34.9888991562124	18.4554208852919	12.9560897696507	5.3301788327842	14.7816775812175	3.90929312377296	39.3599659487386	21.7524555414012
LZIC	1430.82048988532	1178.71749744297	1360.49089599943	1046.95591871529	1575.59181786691	964.324514875693	1377.29510502144	1117.91354938399	1673.8689356332	1925.19179971835	1400.98517375823	1301.45199833814	1007.92564006927	1083.85151856605	766.263166874379	1154.62034013758
NMNAT1	486.634069053136	109.984007772718	238.892977670409	255.490569023359	279.248674659388	132.198478095635	189.545474438254	127.862095365011	278.511637283451	326.369548287268	164.110470415576	177.672627759473	102.547888219697	84.0498021611186	88.7692849056658	68.7377595108279
RBP7	0	0	15.6802340555867	0	0	0	0	0	0	0	0	0	0	0.97732328094324	0.837446084015715	0
UBE4B	910.257750679073	621.020811565146	812.605070763051	462.84523373797	545.911493559479	578.594708925416	1074.43440129945	699.135860894921	407.270786178312	227.29307827149	534.654637827588	729.346136952637	406.496133483482	689.012913064984	844.983098771856	550.772174308279
KIF1B	411.9909947163	435.492232797025	412.297918991015	453.58832906321	484.55544673291	454.545452082251	787.025774297966	574.792905769314	1448.54042506719	2079.63453239	596.843868721911	554.338598609556	684.576442980136	462.273911886152	927.052815005396	620.380032040763
PGD	2783.12034313059	2054.14576133087	2242.2734699489	2488.25597657533	2701.23929233898	2353.31400390791	1973.74526643312	1662.20723974514	18.1942275612304	525.493826260154	2687.09301822557	2003.25887798806	1800.59310036206	1970.28373438157	2046.71822933441	2706.00546935031
