Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD8_monomer_1	Full_CD8_monomer_2	Full_CD8_monomer_3	Full_CD8_monomer_4	Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4
ATAD3B	2.96408147321376	2.98983665161034	3.75933588029421	5.64032387141834	3.10371197051923	3.40011044495159	3.13764778941016	5.86860653097742	2.99646694876993	3.13217501532157	4.05832732303109	4.14555438035806
ATAD3A	3.30296526463958	3.56166814847495	4.43993383762057	5.18617892667571	3.33644073451697	3.48599250843899	3.49862961248391	5.55356435356823	3.51587626646936	3.49394432220059	4.63057759226032	4.27723370210019
TMEM240	-1.77574086116918	-1.77892002267445	-1.77971514963187	-1.72654007155856	-1.77831596098564	-1.77958737988734	-1.7774163373501	-1.77803521890889	-1.77869678669404	-1.77755859978655	-1.77923145167404	-1.77917900359342
SSU72	8.59575225986631	9.03886695378768	9.53053326524551	9.99185240732416	8.5050934869516	9.43531065333869	9.11163236383987	10.0942433410993	8.86162908838421	9.57987642958364	9.44759641475133	9.24070382934953
FNDC10	-0.802128465577421	-0.804488847490017	-0.739756052287274	-0.804526730020704	-0.804437923714446	-0.708195081101959	-0.80435579081793	-0.691523306606293	-0.804470407316649	-0.80436930264646	-0.804513852229131	-0.804509699001514
MIB2	2.1559848371256	2.01310042122262	2.01215212239153	2.49644918111375	2.01387382182746	2.15012610215726	2.0760557892939	3.08715664450461	2.01338074740256	2.23164482549581	2.58437652681378	2.19875747976243
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	6.74953347534538	6.10110541109909	6.57338501205237	8.43226322235764	6.30376781072482	6.39849520230637	6.39205647247787	7.83526690999453	5.62190920838234	5.92989302746933	6.9537925535319	6.5335195428877
SLC35E2B	6.87775329594641	5.82093854747437	6.72731530481191	7.21248910059036	6.51375923766208	7.25750689579077	7.62639338730217	6.82026832720895	7.53545620497053	7.03195139052355	7.46376515777732	7.8012124321517
CDK11A	3.65454649789147	3.73730967829369	4.0424661158859	3.71847228330491	4.10579617264328	3.62926375660739	3.52119783773196	3.9305120695876	3.82508182518515	3.51772018466595	3.6700048820708	4.15817059640262
NADK	4.52562405762182	5.1548420241905	6.15510955301555	6.59586630212135	4.85343429725136	6.06648112402335	5.40823969285252	6.97767877892236	5.34626470223913	4.78657911964847	6.30339180356844	5.85474289643783
GNB1	11.4988300084119	11.1177532996395	11.2220615139148	11.0534725463655	11.1899112975331	11.2811977242138	11.4023267279105	11.1188030028869	11.2817492401763	11.2655461350188	11.2599609638571	11.3252930539438
CALML6	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	-1.53764210440079	-1.54170347785451	-1.45268816427391	-1.54231149396253	-1.54093179006724	-1.54255602556688	-1.53978252239222	-1.54057314253834	-1.54141829426655	-1.53996426241451	-1.54210132787551	-1.5420343255411
CFAP74	-1.77577222041505	-1.77900990854916	-1.77981967336006	-1.77949461318436	-1.77839472641421	-1.77968955144424	-1.77747854119836	-1.778108816029	-1.77878256291613	-1.77762342260865	-1.72549812871284	-1.77927365716555
GABRD	-2.01466072467714	-2.01714686466603	-2.01776866287344	-2.01751905726965	-2.0166744816437	-2.01766874549878	-2.01597096586083	-1.98889900323132	-2.01697229162312	-2.01608221668328	-2.01739040564005	-2.01734939065218
PRKCZ	-1.30565367227693	-1.31080755777013	-1.31209657479059	-1.25445437734199	-1.30982828547779	-1.22680162213	-1.30836986406799	-1.30937316153575	-1.31044565961582	-1.30860049227175	-1.31131242969956	-1.31122740369462
FAAP20	4.2600589416425	4.27452001202944	4.49786171982525	5.22047306069309	3.92611884863408	4.19045346586532	3.5517530236863	3.86511468190126	4.4497637225208	3.6597048304011	3.74457217200662	4.01144087508009
SKI	6.22216765647334	6.31450343950907	6.24982642167513	6.6001302192819	5.78582996029469	5.84739612993767	5.97120246819555	6.42539587094006	6.60808890198227	6.15163189564468	6.45272247928609	6.31731111526697
MORN1	2.26528573020391	2.45070281137122	2.65399766673351	2.56122533868763	2.46258026045819	2.72770544419547	2.55424517314958	2.57018221948702	2.34501361854784	2.61650788266903	2.26153855428253	2.3772188129477
RER1	8.87329166166035	7.91217939598858	7.97279871084913	9.64316420283344	8.39462128507149	7.5414869224379	7.98297815763507	7.99503943193448	7.73854462803441	8.14420423983583	7.99169874094424	7.57464125159736
PEX10	0.801006970298685	0.927891518153227	0.799214448666812	1.39172352969147	0.799763863450067	0.919296583993433	0.800161565040392	0.89614795460121	0.799606320703773	0.800096200935634	0.923816684566965	0.799415568034654
