Full_CD4_V7_1	Full_CD4_V7_2	Full_CD4_V7_3	Full_CD4_V7_4	Full_CD4_monomer_1	Full_CD4_monomer_2	Full_CD4_monomer_3	Full_CD4_monomer_4	Full_CD4_control_1	Full_CD4_control_2	Full_CD4_control_3	Full_CD4_control_4
CDK11B	456.262469628635	367.312110785056	408.766932241712	361.151044302524	335.695075266199	299.385999267989	290.827925785397	100.693372489679	61.7935560526352	408.169535483016	45.695266856839	46.6145735658664
SLC35E2B	172.099001702029	211.707268464009	262.843481929261	175.416221518369	197.364033752306	208.268521229905	188.602306095162	154.001628513627	237.153647553357	379.646845051672	321.009249669294	345.199815055335
CDK11A	16.0092094606538	8.46829073856038	16.3144230162989	40.3363504026195	7.92980492754801	27.6606629758468	8.71691330691924	8.88470933732463	30.0617299715522	14.75311574035	20.5628700855775	17.6379467546522
NADK	125.071948911358	68.8048622508031	140.485309307019	166.973729573634	178.861155588027	80.5413421943774	188.602306095162	85.8855235941381	37.5771624644403	200.64237406876	15.9933433998936	1.25985333961801
GNB1	2335.34343007288	2729.9652268434	2892.1846580561	2821.66841886232	1788.61155588027	2279.5640487742	2303.64245301948	2356.42235424377	3117.23438843902	2101.82722247519	3617.92275339022	2160.64847744489
CALML6	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	4.53178417119415	0	0	0	1.58489332853077	0	0	0	0	0
CFAP74	0	0	1.81271366847766	1.87610932105207	0	0	0.792446664265386	0	0	0	1.14238167142097	6.29926669809005
GABRD	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	2.00115118258173	0	0	0.938054660526036	0	0	3.16978665706154	1.97437985273881	0	12.7860336416366	0	0
FAAP20	127.07310009394	32.8146266119215	70.6958330706287	96.6196300341817	53.7464556200476	76.4735976391058	22.9809532636962	42.4491668338844	28.3916338620216	21.6379030858466	59.4038469138906	5.03941335847204
SKI	117.067344181031	80.4487620163236	63.444978396718	84.4249194473432	81.0602281482685	42.3045433748245	64.1881798054962	40.4747869811455	91.0202379694221	116.057843824086	114.238167142097	97.0087071505868
MORN1	8.00460473032692	30.6975539272814	0.906356834238829	3.75221864210414	13.2163415459133	0	4.75467998559231	12.8334690428022	55.1131716145125	48.1935114184766	1.14238167142097	7.55912003770807
RER1	592.340750044192	152.429233294087	407.860575407473	385.540465476201	866.992005411916	135.862668146071	266.26207919317	145.116919176302	126.927304324332	125.893254317653	379.270714911763	210.395507716208
PEX10	10.0057559129087	9.52682708088042	11.7826388451048	3.75221864210414	10.5730732367307	0	19.0187199423693	0	0	7.86832839485332	0	0
PLCH2	16.0092094606538	0	0	0	0.881089436394223	3.25419564421727	0	0.987189926369404	0.83504805476534	0.983541049356664	1.14238167142097	1.25985333961801
PANK4	203.116845032046	143.960942555526	446.833919279743	215.752571920988	699.585012497013	349.826031753356	410.48737208947	27.6413179383433	37.5771624644403	296.045855856356	13.7085800570517	31.4963334904503
HES5	0	0	0	1.87610932105207	0	0	0	0	0	0	0	0
TNFRSF14	499.287220054142	881.760773152599	1001.52430183391	1153.80723244702	1118.98358422066	1078.76585605802	921.615470540644	159.924768071843	65.1337482716965	1082.87869534169	97.1024420707828	51.6539869243384
PRXL2B	18.0103606432356	11.6438997655205	23.5652776902096	79.734646144713	48.4599190016823	34.1690542642813	11.0942532997154	33.5644574965597	64.2987002169312	78.6832839485331	92.5329153850989	88.1897337732608
MMEL1	0	0	2.71907050271649	0	0	0	0	0	0.83504805476534	0	0	0
TTC34	0	0	18.1271366847766	7.50443728420828	2.64326830918267	37.4232499084986	0.792446664265386	0	4.1752402738267	0.983541049356664	0	0
ACTRT2	2.00115118258173	0	0	0	0	0	0	0	0	0	0	0
PRDM16	10.0057559129087	1.05853634232005	0	1.87610932105207	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	1.96708209871333	0	0
MEGF6	2.00115118258173	0	0	0.938054660526036	1.76217887278845	0	2.37733999279616	0	8.3504805476534	0.983541049356664	2.28476334284195	0
TPRG1L	111.063890633286	57.1609624852826	103.324679103227	86.3010287683953	90.752211948605	157.828488744538	106.187853011562	281.34912901528	186.215716212671	278.342116967936	318.724486326452	440.948668866304
WRAP73	194.111664710428	93.1511981241642	153.174304986362	167.91178423416	181.50442389721	135.862668146071	215.545492680185	70.0904847722277	22.5462974786642	177.0373888842	53.6919385567858	30.2364801508323
TP73	2.00115118258173	6.35121805392028	0.906356834238829	9.38054660526036	0	0	0	0	0	18.6872799377766	1.14238167142097	0
CCDC27	0	0	0	1.87610932105207	0	0	0	0	0	4.91770524678332	0	0
SMIM1	0	0	0	2.81416398157811	0	0	2.37733999279616	0	0	0	0	0
