Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD8_wtIL2_1	Full_CD8_wtIL2_2	Full_CD8_wtIL2_3	Full_CD8_wtIL2_4	Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4	Full_CD8_Mb_wtIL2_1	Full_CD8_Mb_wtIL2_2	Full_CD8_Mb_wtIL2_3	Full_CD8_Mb_wtIL2_4
SMIM1	0	0	0	6.68535340273269	0	1.81654715789305	0	0	0	0	0	0	0	0	0	0
LRRC47	301.807777915414	200.723327735288	283.440135898431	216.438316413471	359.541534001444	311.537837578659	220.995070608073	297.329288646942	241.288477516016	277.492713977021	235.527056466482	170.231929480575	325.481334325436	299.161870399018	313.022315172429	268.96576325427
CEP104	227.00072185091	133.508635420261	218.984361554181	128.693053002604	102.126583587959	153.498234841963	130.423320358862	210.30608221369	97.0809108755845	182.868761701332	159.352878352787	140.397467612845	245.675814851411	129.930892773836	188.712017759455	119.444859719947
DFFB	179.278979189071	128.904889371286	34.7069554161343	145.406436509436	86.7376463349788	103.543187999904	79.7031402193049	70.4473575888224	164.000762061667	123.330095100898	37.6493064240101	82.4835122225467	1.56481410733383	110.681871622157	103.342295439701	162.410636597626
C1orf174	220.551837707418	279.90775977765	366.075744032084	395.271519936571	110.520549362312	333.336403473375	301.60392832987	626.774284429964	337.426855276304	426.339380478105	250.411665982951	280.794935225691	17.2129551806721	270.288338671499	638.026345758156	506.136851619057
AJAP1	0	0	0	1.67133835068317	0	0.908273578946527	11.7743275323973	20.719811055536	0	0	0	0	0	0	0	0
NPHP4	11.6079914582852	31.3054731330266	72.7193351576148	76.881564131426	15.3889372529801	81.7446221051874	45.285875124605	116.030941911002	40.5289239577683	97.8135237007123	88.43209183314	17.5496834516057	4.69444232200148	63.3613612909449	46.4291472265325	123.741437407715
KCNAB2	261.824696225766	229.26655323893	356.159471056045	554.884332426814	292.389807806622	376.025261683862	313.378255862267	657.854001013268	413.772037615355	577.312427929204	509.578984622648	452.781833051426	215.944346812068	409.041699473189	751.103784971162	863.612115241345
CHD5	0	0	0	0	0	4.54136789473263	5.4343050149526	11.3958960805448	0	0	0	0	0	6.41634038389315	0	0.859315537553577
RPL22	3628.14221912847	2392.10644704715	1551.07036466867	1422.30893643138	4890.88405785622	1745.70181873522	1783.35776240695	2328.90676264225	1866.21556828794	2000.92447396457	1287.08094054174	1790.06771206378	4528.5720266241	1568.79522386188	1149.49582246334	1164.3725533851
