dualCAR_CD8_monomer_1	dualCAR_CD8_monomer_2	dualCAR_CD8_monomer_3	dualCAR_CD8_monomer_4	dualCAR_CD8_control_1	dualCAR_CD8_control_2	dualCAR_CD8_control_3	dualCAR_CD8_control_4	dualCAR_CD8_V9_Mb_1	dualCAR_CD8_V9_Mb_2	dualCAR_CD8_V9_Mb_3	dualCAR_CD8_V9_Mb_4	dualCAR_CD8_V7_1	dualCAR_CD8_V7_2	dualCAR_CD8_V7_3	dualCAR_CD8_V7_4
SKI	75.1998595040724	63.5283980957975	48.050843884954	107.368700665204	208.958457753052	89.9963591623568	65.6748412030636	92.6684820021029	121.327913591262	80.2175476037884	83.3724480257641	164.956687995458	79.7133627073587	65.7579294343754	60.1858878158381	114.331327999536
MORN1	0	0	1.4343535488046	2.94160823740284	0	0	5.25398729624508	0	2.0221318931877	34.9094883090561	3.30187912973323	1.50645377164802	0.926899566364636	93.9398991919649	0	0
RER1	321.578346563467	165.049269562611	263.921052980046	91.189855359488	299.617682809932	138.505035022918	198.994768845283	184.607290917575	376.116532132912	161.920605348388	167.570365833962	195.838990314243	383.736420474959	234.849747979912	172.424435364293	454.430847998154
PEX10	0	0	12.1920051648391	0	0	0	0	2.1890192598922	0	8.91306084486538	9.9056373891997	0	0	0	0	0
PLCH2	0	2.49130972924696	1.4343535488046	0	1.1056003055717	1.91481615239057	3.94049047218381	0.729673086630732	0	0	4.95281869459985	5.27258820076807	0.926899566364636	65.7579294343754	4.87993684993282	0
PANK4	26.7157395606573	16.816340672417	14.343535488046	110.310308902607	25.4288070281492	35.743234844624	384.197821037922	361.917850968843	39.4315719171602	15.5978564785144	20.6367445608327	70.050100381633	22.2455895927513	9.39398991919649	21.9597158246977	683.817119997222
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4723199999412
TNFRSF14	13.8526056981186	16.816340672417	46.6164903361494	348.580576132237	16.5840045835756	17.871617422312	399.303034514626	363.377197142104	33.3651762375971	46.7935694355433	214.62214343266	211.656754916547	20.391790460022	1634.55424594019	56.1192737742274	601.324895997557
PRXL2B	30.6736269029769	8.09675662005263	12.1920051648391	10.2956288309099	114.982431779457	8.93580871115599	26.9266848932561	13.8637886459839	28.3098465046278	24.5109173233798	15.6839258662329	12.8048570590082	18.5379913272927	0	7.31990527489923	27.4974079998883
MMEL1	0	1.86848229693522	0	4.41241235610426	0	0	0	0	0	0	0	0	0	18.787979838393	0	8.68339199996473
TTC34	1.9789436711598	0	0	0	3.31680091671511	8.29753666035913	0	5.10771160641512	1.01106594659385	0	0	4.51936131494406	0	18.787979838393	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	13.2372370683128	0	0	1.31349682406127	0	0	0	0	0	0	9.39398991919649	1.62664561664427	12.30147199995
ARHGEF16	0	0	0	2.94160823740284	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	1.9789436711598	0	0	0	0	1.27654410159371	3.28374206015318	0	0	0	0	2.25968065747203	0	9.39398991919649	0	7.2361599999706
TPRG1L	24.7367958894975	56.6772963403684	125.505935520402	29.4160823740284	27.6400076392926	90.6346312131536	88.6610356241358	137.178540286578	15.1659891989078	86.9023432374375	154.362849315029	84.3614112122892	4.63449783182318	0	18.7064245914091	20.2612479999177
WRAP73	22.7578522183377	40.4837831002631	35.8588387201149	83.8358347659809	49.7520137507267	44.6790435557799	122.155204637698	98.5058666951488	23.2545167716586	53.4783650691923	62.7357034649314	57.2452433226248	19.4648908936574	37.575959676786	31.7195895245633	139.657887999433
TP73	0	7.47392918774089	7.88894451842528	1.47080411870142	0	2.55308820318743	10.5079745924902	3.64836543315366	0	0	14.8584560837995	1.50645377164802	0	18.787979838393	0	0
CCDC27	0	0	0	4.41241235610426	0	0	0	0	4.0442637863754	0	0	0	0	0	0	0
SMIM1	0	0	0	0	0	0	0	1.45934617326146	0	0	0	0	0	0	0	0
LRRC47	250.336374401715	176.882990776534	332.052846548264	160.317648938455	226.648062642199	220.203857524915	221.980963266355	163.446771405284	294.220190458811	274.819376050016	342.569959709823	228.227746404675	190.941310671115	291.213687495091	256.196684621473	114.331327999536
CEP104	252.315318072874	159.443822671806	103.990632288333	88.2482471220852	81.8144226123061	205.523600356588	150.395386355016	137.178540286578	146.604562256108	60.1631607028413	180.777882352894	72.309781039105	95.4706553355576	197.273788303126	105.731965081878	154.853823999371
DFFB	142.483944323506	29.8957167509635	67.4146167938161	32.3576906114312	17.6896048891473	8.29753666035913	16.4187103007659	64.2112316235044	15.1659891989078	37.1377535202724	37.9716099919322	21.8435796888963	74.1519653091709	28.1819697575895	3.25329123328854	0.72361599999706
C1orf174	134.568169638866	218.612428741421	181.445723923782	370.642637912758	58.5968161953003	206.800144458181	260.729119576162	274.357080573155	48.5311654365048	262.192539853123	241.037176470526	295.264939243012	36.1490830882208	648.185304424558	206.583993313823	553.566239997751
AJAP1	0	0	0	7.3540205935071	0	0.638272050796856	0	2.1890192598922	1.01106594659385	0	0	0	0	28.1819697575895	1.62664561664427	0
NPHP4	7.9157746846392	10.5880663492996	40.879076140931	94.1314635968909	8.84480244457363	22.9777938286868	78.8098094436763	81.723385702642	24.2655827182524	68.3334664773013	44.5753682513986	45.1936131494406	17.6110917609281	65.7579294343754	100.038705423623	20.9848639999148
KCNAB2	172.168099390903	284.632136566465	416.679705927735	547.139132156928	306.251284643362	359.34716459863	507.666522499681	507.122795208359	232.545167716586	272.5911108388	475.470594681586	429.339324919686	211.333101131137	1653.34222577858	322.889154903888	508.702047997934
CHD5	0	0	0	4.41241235610426	0	0.638272050796856	2.62699364812254	0	0	0.742755070405449	0	0.75322688582401	0	9.39398991919649	0	0
RPL22	1747.4072616341	1052.57836060684	923.72368543016	817.76708999799	2767.31756484597	941.451274925363	621.940746193012	740.618182930193	1813.85230818937	888.335064204916	1065.6814891214	1153.94358908238	2162.4566883287	4264.87142331521	954.840976970188	553.566239997751
RNF207	54.4209509568945	67.8881901219797	82.4753290562643	16.1788453057156	23.2176064170058	86.1667268575756	23.6429428331029	27.7275772919678	123.35004548445	75.7610171813558	75.9432199838644	2.25968065747203	28.7338865573037	84.5459092727684	47.986045691006	0
ICMT	38.5894015876161	275.289725081789	233.799628455149	119.135133614815	33.1680091671511	237.437202896431	355.957639320604	205.038137343236	27.298780558034	401.087738018942	257.546572119192	149.892150278978	44.4911791855025	65.7579294343754	195.197473997313	260.501759998942
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	18.787979838393	0	0
GPR153	17.8104930404382	0.622827432311741	0.717176774402298	0	0	5.10617640637485	2.62699364812254	0	1.01106594659385	4.45653042243269	29.7169121675991	0	0	18.787979838393	3.25329123328854	0.72361599999706
ACOT7	126.652394954227	158.820995239494	301.931422023368	626.562554566805	91.7648253624514	224.033489829697	525.398729624508	542.876776453264	174.914408760736	268.134580416367	484.550762288352	329.160149105093	125.131441459226	56.3639395151789	279.783046062815	832.15839999662
HES2	0	0	0	0	0	0.638272050796856	0	0	0	0	0	0	0	0	0	0
ESPN	0.989471835579899	0	0	0	3.31680091671511	0	0	0	0	0	0	3.01290754329604	5.56139739818782	0	0	0
TNFRSF25	15.8315493692784	1.24565486462348	13.6263587136437	0	0	0.638272050796856	3.94049047218381	2.91869234652293	0	0	0	0.75322688582401	0	131.515858868751	8.13322808322136	12.30147199995
PLEKHG5	0	4.35979202618218	10.0404748416322	1.47080411870142	0	0	7.22423253233699	3.64836543315366	0	0.742755070405449	0	0.75322688582401	0	0	0	3.6180799999853
NOL9	450.209685188854	895.625847664283	701.398885365448	197.08775190599	205.641656836337	744.863483279931	415.721744815392	427.588428765609	333.651762375971	761.323947165585	581.130726833049	250.824552979395	892.604282409145	6885.79461077103	676.684576524017	586.852575997616
